epoch,loss,segmentation_loss,topology_loss,topology_seconds,topology_seconds_total,validation_loss,epoch_seconds
1,0.32895750587185224,0.32895750587185224,0.0,0.0,0.0,0.23288280218839646,63.58566840000276
2,0.1967876238624255,0.1967876238624255,0.0,0.0,0.0,0.177101398507754,5.143297699993127
3,0.15820181732376418,0.15820181732376418,0.0,0.0,0.0,0.16930242255330086,5.0107405000017025
4,0.14598263333241146,0.14598263333241146,0.0,0.0,0.0,0.15300007338325183,4.973897100004251
5,0.13757065892219544,0.13757065892219544,0.0,0.0,0.0,0.13832414199908574,5.048193300011917
6,0.13351442543168862,0.13351442543168862,0.0,0.0,0.0,0.13986706398427487,5.420343899997533
7,0.1312063992023468,0.1312063992023468,0.0,0.0,0.0,0.1342617300649484,5.4657739999966
8,0.1263548179467519,0.1263548179467519,0.0,0.0,0.0,0.13014065598448118,5.444450199996936
9,0.12740400662024817,0.12740400662024817,0.0,0.0,0.0,0.13519307809571426,5.258776499991654
10,0.12500522116820018,0.12500522116820018,0.0,0.0,0.0,0.13620356184740862,5.329089999999269
11,0.12366782655318578,0.12366782655318578,0.0,0.0,0.0,0.13218075645466645,5.343827500008047
12,0.12156683747967084,0.12156683747967084,0.0,0.0,0.0,0.1352747056633234,4.910776399992756
13,0.11899228068689505,0.11899228068689505,0.0,0.0,0.0,0.13298838722209136,5.164030499989167
14,0.11827703317006429,0.11827703317006429,0.0,0.0,0.0,0.13930283983548483,5.169528200000059
15,0.11561074124028285,0.11561074124028285,0.0,0.0,0.0,0.1373732190579176,5.146551400001044
16,0.11327737251917522,0.11327737251917522,0.0,0.0,0.0,0.13858850337564946,4.9000415000045905
17,0.11228079115351042,0.11228079115351042,0.0,0.0,0.0,0.13357161842286586,5.006013199992594
18,0.11046358781556288,0.11046358781556288,0.0,0.0,0.0,0.1360132562617461,5.048495900002308
19,0.1083850721269846,0.1083850721269846,0.0,0.0,0.0,0.1391482756783565,5.004604899993865
20,0.10683048928777376,0.10683048928777376,0.0,0.0,0.0,0.14124495138724644,4.987744500002009
